crypto,precio,capitalizacion,cambio_24h
Bitcoin,77535.0,1552480171232,2.42
Ethereum,2365.04,285585255211,2.41
Tether,1.0,188518372374,-0.01
XRP,1.45,89002359525,1.47
BNB,640.63,86328569199,1.69
USDC,0.999692,77895211703,-0.01
Solana,87.41,50346642241,2.23
TRON,0.331646,31434805807,0.85
Figure Heloc,1.034,17526568239,0.36
Dogecoin,0.096417,14852295176,1.64
WhiteBIT Coin,55.9,11927233981,2.14
USDS,0.999689,10814989485,-0.01
Hyperliquid,40.19,9585185633,-2.16
LEO Token,10.35,9546523122,0.11
Cardano,0.254189,9399672428,2.65
Bitcoin Cash,451.76,9047684119,2.15
Monero,383.9,7088740108,8.65
Chainlink,9.48,6896697598,2.35
Stellar,0.179582,5963679248,3.28
Canton,0.150995,5793149473,-3.72
MemeCore,4.32,5582671444,32.81
Zcash,316.31,5275958267,-0.01
Ethena USDe,0.999202,4713827581,-0.04
Dai,0.999744,4429007185,0.01
Litecoin,55.75,4297109744,1.8
USD1,1.0,4248788796,0.03
Avalanche,9.57,4132319597,2.87
Hedera,0.090618,3926045367,1.33
Sui,0.960617,3798416778,1.99
Rain,0.00781672,3738448257,5.16
Shiba Inu,6.18e-06,3643176443,3.02
PayPal USD,0.999841,3620223535,0.0
Toncoin,1.37,3415241631,1.27
Cronos,0.070536,3071032879,0.15
Circle USYC,1.12,2922845311,0.0
Tether Gold,4748.2,2658270557,-0.65
World Liberty Financial,0.079261,2517171970,0.16
BlackRock USD Institutional Digital Liquidity Fund,1.0,2495865285,0.0
Bittensor,245.92,2361006004,0.53
Global Dollar,0.999783,2322633280,0.01
PAX Gold,4748.96,2309647276,-0.74
Polkadot,1.29,2171815803,1.4
Uniswap,3.32,2106346543,2.81
Mantle,0.63159,2070991335,-0.45
Sky,0.081497,1889931563,3.53
NEAR Protocol,1.4,1812294064,3.43
Falcon USD,0.997494,1784765819,-0.02
OKB,84.44,1773278443,1.29
Pi Network,0.169684,1733731824,-0.06
Aster,0.685796,1686316324,1.28
HTX DAO,1.83e-06,1656891865,1.04
Pepe,3.9e-06,1639865868,4.07
Janus Henderson Anemoy Treasury Fund,1.1,1518325690,0.01
Ripple USD,1.0,1451081504,-0.01
Aave,92.46,1403710894,0.97
Internet Computer,2.5,1382706102,1.95
Ethereum Classic,8.55,1338807619,2.02
USDD,1.0,1333348019,-0.01
Ondo US Dollar Yield,1.12,1330595613,-0.45
Bitget Token,1.89,1325864660,-0.1
BFUSD,0.999899,1320131018,0.0
Ondo,0.263794,1284623788,3.25
KuCoin,8.65,1165503957,1.38
Gate,7.34,1133103428,0.88
Pump.fun,0.0018767,1107110899,2.71
Morpho,1.97,1087715622,4.12
Quant,74.47,1083016929,0.14
United Stables,1.0,1028391361,-0.01
Spiko EU T-Bills Money Market Fund,1.23,1012499626,-0.28
POL (ex-MATIC),0.094431,1003960173,2.89
Ethena,0.113073,990720598,1.75
Cosmos Hub,1.89,954563961,5.52
Kaspa,0.03452989,945317277,-2.28
Render,1.82,943188295,1.95
Algorand,0.104336,929881800,1.06
NEXO,0.912857,912703949,1.03
USDtb,0.999496,880868824,-0.03
Worldcoin,0.263787,866832515,0.28
Superstate Short Duration U.S. Government Securities Fund (USTB),11.06,864389099,0.03
Arbitrum,0.127149,768034307,0.95
Aptos,0.941639,759596557,1.38
Blockchain Capital,82.76,754118306,0.0
Filecoin,0.942482,728883703,2.26
Flare,0.00811821,696191494,0.2
JUST,0.081244,694416911,8.1
Official Trump,2.89,671064838,1.22
Provenance Blockchain,0.01138,650066236,4.24
Jupiter,0.176142,625450290,4.77
VeChain,0.00723416,622026826,2.51
Beldex,0.079978,618827388,-0.22
Midnight,0.03716295,618383367,2.76
XDC Network,0.03021303,602630957,1.38
OUSG,115.0,601083514,0.01
DeXe,12.78,597788950,-11.1
YLDS,0.999839,589521547,-0.02
​​Stable,0.02654509,583976058,3.77
GHO,0.998983,583416962,0.02
Usual USD,0.99808,556982030,-0.01
Bonk,6.29e-06,553320422,3.11
Siren,0.706053,513761510,0.62
